;name;company;link;city;currency;min_value;max_value;place
98;Junior Python Developer;ООО ЭНКОСТ;https://hh.ru/vacancy/48130982?from=vacancy_search_list&query=python;Москва;руб.;60000.0;;
99;Python Backend Engineer;Novapulsar;https://hh.ru/vacancy/48205590?from=vacancy_search_list&query=python;Москва;USD;2400.0;4000.0;
100;Python разработчик (ДомКлик);Сбер. IT;https://hh.ru/vacancy/47331011?from=vacancy_search_list&query=python;Москва;;;;Кутузовская и еще 1 
101;ML Engineer / Python Developer;ООО РАБЛЗ;https://hh.ru/vacancy/47418089?from=vacancy_search_list&query=python;Москва;руб.;200000.0;350000.0;
102;Python разработчик (back-end);ООО Национальный Цифровой Агрегатор;https://hh.ru/vacancy/48122869?from=vacancy_search_list&query=python;Москва;руб.;180000.0;200000.0;Технопарк
103;Преподаватель курса  “Python” (Python developer);GeekBrains;https://hh.ru/vacancy/48214691?from=vacancy_search_list&query=python;Москва;;;;
104;Python Developer / Программист Python;Printum;https://hh.ru/vacancy/48121542?from=vacancy_search_list&query=python;Москва;;;;
105;Python Engineer;Parimatch Tech;https://hh.ru/vacancy/47736797?from=vacancy_search_list&query=python;Москва;;;;
106;Python разработчик;Сбер. IT;https://hh.ru/vacancy/46557882?from=vacancy_search_list&query=python;Москва;;;;
107;Разработчик Python;ВСК, САО;https://hh.ru/vacancy/47301256?from=vacancy_search_list&query=python;Москва;;;;
108;Python разработчик;IPONWEB Ltd (UK);https://hh.ru/vacancy/47377341?from=vacancy_search_list&query=python;Москва;;;;Шаболовская
109;Python разработчик;Лига Цифровой Экономики;https://hh.ru/vacancy/48133957?from=vacancy_search_list&query=python;Москва;;;;
110;Python developer (Kaspersky Anti Targeted Attack);Лаборатория Касперского;https://hh.ru/vacancy/42522896?from=vacancy_search_list&query=python;Москва;;;;Водный стадион
111;Python-разработчик;IVIDEON;https://hh.ru/vacancy/48098080?from=vacancy_search_list&query=python;Москва;;;;Менделеевская
112;Python Automation Engineer;Starnavi;https://hh.ru/vacancy/47889918?from=vacancy_search_list&query=python;Москва;;;;
113;Python-разработчик (Data Engineer);Mail.ru Group, Другое;https://hh.ru/vacancy/46633466?from=vacancy_search_list&query=python;Москва;;;;Аэропорт
114;Python Developer;Онлайн-школа Тетрика;https://hh.ru/vacancy/42358806?from=vacancy_search_list&query=python;Москва;;;;Курская
115;Python-разработчик;Сбер. IT;https://hh.ru/vacancy/46510732?from=vacancy_search_list&query=python;Москва;;;;Кутузовская
116;Программист Python;ООО Артистраж;https://hh.ru/vacancy/47450602?from=vacancy_search_list&query=python;Москва;руб.;60000.0;200000.0;Выставочная и еще 2 
117;Python разработчик в SberDevices (направление B2B2C);Сбер. IT;https://hh.ru/vacancy/41032029?from=vacancy_search_list&query=python;Москва;;;;Кутузовская и еще 1 
118;Python developer;Rutube;https://hh.ru/vacancy/37583293?from=vacancy_search_list&query=python;Москва;;;;Проспект Мира и еще 1 
119;Разработчик Python;Т1 Интеграция;https://hh.ru/vacancy/46027206?from=vacancy_search_list&query=python;Москва;;;;
